date,event,symbol,side,qty,price,stop,tp,r_distance,reason_code,rank_rs,regime,equity_after,notes,row_sha
2026-08-21,PROPOSE,BE,BUY,,,,,,ARM,,BULL,,,c5b73228624067f5655938948f7689a867ceee3ca26f33657cbd095f75e5a45c
2026-08-21,PROPOSE,MU,BUY,,,,,,ARM,,BULL,,,e247ad120466c561fedb3c38f23f9a603ffa71fdaab26b094951a65d354c6081
2026-08-21,PROPOSE,SNDK,BUY,,,,,,ARM,,BULL,,,3ff7c6138eb6be942391dc7d306c4b255b1f694f7b4c6f14adef26add2aee75d
2026-08-21,PROPOSE,STX,BUY,,,,,,ARM,,BULL,,,966005031c1db3c00aa70769b2d40abb418dc0cd21378ad8016c99cbbe40c4b3
2026-08-21,PROPOSE,WDC,BUY,,,,,,ARM,,BULL,,,81f3f2192c9a97cad49f834163dfb29e1a25366cd442b2cfddbb83dcb1d8ebfc
2026-08-24,FILL,BE,BUY,4.05784,191.98,153.58,268.77,,ARM,,BULL,,,fd07a77e67fdc79f866c25d50e261e32b8791eea8d693a682a58cea25e1290a3
2026-08-24,FILL,MU,BUY,0.833378,934.78,747.82,1308.69,,ARM,,BULL,,,c8d3c54e3ccd81c27bc462869c9324ea7454b3a1d4eae1dceaeb1f5439f91218
2026-08-24,FILL,SNDK,BUY,0.521404,1494.09,1195.27,2091.73,,ARM,,BULL,,,4014375b57c5c267d61067f35e9037cdcbb23ec3fb00520c8c8890fce0ef30e9
2026-08-24,FILL,STX,BUY,0.951655,818.6,654.88,1146.04,,ARM,,BULL,,,693e28856eafe4082e87b5c4170ad4e781286c1a4a38db4531458f70369d0b3f
2026-08-24,FILL,WDC,BUY,1.74227,446.35,357.08,624.89,,ARM,,BULL,,,e5bb4f908775383e8bd44fccb274904cc97337194b221556356e1a245fa23619
