date,params,j_lam050,star_days,fb_rate,fallback_red
2026-07-11,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27576,1272,0.5361,0
2026-07-13,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27576,1272,0.5361,0
2026-07-14,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27603,1254,0.5349,0
2026-07-15,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.30486,1207,0.5327,0
2026-07-16,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.30592,1322,0.5315,0
2026-07-17,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27238,1263,0.5293,0
2026-07-20,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27171,1261,0.5272,0
2026-07-21,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27175,1242,0.5251,0
2026-07-22,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.30084,1197,0.5227,0
2026-07-23,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.30114,1312,0.5205,0
2026-07-24,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.26825,1250,0.5190,0
2026-07-27,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.26743,1249,0.5178,0
2026-07-28,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.26739,1224,0.5155,0
2026-07-29,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.29556,1194,0.5132,0
2026-07-30,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.29680,1302,0.5117,0
2026-07-31,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.26448,1244,0.5121,0
2026-08-03,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.26392,1241,0.5106,0
2026-08-04,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.26437,1213,0.5091,0
2026-08-05,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.29256,1193,0.5094,0
2026-08-06,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.29509,1299,0.5088,0
2026-08-07,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.26268,1238,0.5072,0
2026-08-10,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.26338,1238,0.5090,0
2026-08-11,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.26639,1212,0.5124,0
2026-08-12,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.29759,1191,0.5167,0
2026-08-13,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.30275,1297,0.5210,0
2026-08-14,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27222,1242,0.5252,0
2026-08-17,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27375,1243,0.5280,0
2026-08-18,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27447,1218,0.5302,0
2026-08-19,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.30507,1194,0.5329,0
2026-08-20,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.31027,1295,0.5355,0
2026-08-21,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27732,1246,0.5378,0
2026-08-24,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27787,1247,0.5399,0
2026-08-25,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27977,1213,0.5421,0
2026-08-26,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.31002,1195,0.5422,0
2026-08-27,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.31215,1296,0.5423,0
2026-08-28,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.27933,1240,0.5446,0
2026-08-31,{'ef': 13; 'es': 40; 'inv': 'RED'},-0.28083,1238,0.5468,0
