date,champion,champ_oos,challenger_oos,default_oos,adopted
2026-06-27,{'ef': 13, 'es': 40, 'inv': 'RED'},0.305,0.526,0.305,True
2026-06-29,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-06-30,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-01,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-02,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-03,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-06,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-07,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-08,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-09,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-10,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
2026-07-13,{'ef': 13, 'es': 40, 'inv': 'RED'},0.526,0.526,0.305,False
