date,ticker,held,close,state,zone_lo,zone_hi,poc,pct_in_profit,wk_circle,wk_score,wk_weeks,monthly_up,vh_status,whale,absorption,divergence,shelf_stable,conv_score,conv_tier,gates_ok,gates_failed,ftag,rs12_rank,origin,whale_rank,candle,rs6_rank
2026-07-09,0700,0,473,CAUTION,457.38,480.71,466.711,48.08,WHITE,0,21,0,,1,1,0,1,10,fails,0,G1 size;G2 trend;G3 leader,F:—,,,,,
2026-07-09,1810,0,25.14,CAUTION,22.68,23.84,32.0016,18.12,WHITE,0,39,0,BREAKDOWN,0,1,0,0,9,fails,0,G2 trend;G3 leader;G4 basis,F:—,,,,,
2026-07-09,3690,0,78.9,CAUTION,76.6,80.51,78.1637,32.42,WHITE,0,64,0,,1,1,0,1,14,fails,0,G2 trend;G3 leader,F:—,,,,,
2026-07-09,9992,1,150.8,CAUTION,,,154.259,8.18,WHITE,0,19,0,BREAKDOWN,0,0,0,0,13,fails,0,G2 trend;G3 leader;G4 basis,F:—,,,,,
2026-07-09,AAPL,1,313.39,ACCUMULATE,305.53,321.12,311.764,99.09,RED,4,15,1,BREAKOUT,0,1,0,1,65,fails,0,G1 size,F:2/3,,,,,
2026-07-09,ADBE,0,220.94,CAUTION,213.36,224.24,243.185,24.77,WHITE,0,83,0,,1,1,0,1,13,fails,0,G2 trend;G3 leader;G4 basis,F:3/3,,,,,
2026-07-09,ALAB,0,393.16,ACCUMULATE,377.88,397.16,123.076,86,RED,4,12,1,,0,0,0,1,83,CONVICTION,1,,F:3/3,,,,,
2026-07-09,AMAT,0,570.5,HOLD,432.78,454.86,391.467,75.81,RED,4,43,1,BREAKOUT,0,0,0,0,65,fails,0,G1 size,F:2/3,,,,,
2026-07-09,AMD,1,517.41,ACCUMULATE,501.6,527.19,215.827,89.71,RED,4,17,1,BREAKOUT,0,0,0,1,70,fails,0,G1 size,F:3/3,,,,,
2026-07-09,AMZN,0,243.62,ACCUMULATE,233.55,245.46,230.099,67.08,RED,3,2,1,BREAKDOWN,1,1,1,1,40,fails,0,G1 size;G3 leader,F:3/3,,,,,
2026-07-09,ANET,0,181.05,HOLD,166.54,175.04,143.276,100,RED,4,13,1,BREAKOUT,0,0,0,0,72,STARTER,1,,F:3/3,,,,,
2026-07-09,APP,0,522.18,HOLD,457.04,480.36,466.365,68.83,RED,3,2,1,BREAKOUT,0,1,0,0,53,fails,1,,F:2/2,,,,,
2026-07-09,ARM,0,300.24,HOLD,206.46,216.99,210.673,62.02,RED,4,14,1,,0,0,0,0,69,STARTER,1,,F:3/3,,,,,
2026-07-09,ASML,0,1768.65,ACCUMULATE,1712.67,1800.05,1379.34,78.84,RED,4,47,1,,0,0,0,1,74,STARTER,1,,F:1/1,,,,,
2026-07-09,ASTS,0,74.95,BOTTOMING,68.17,71.65,86.0499,23.68,AMBER,2,1,0,BREAKOUT,0,0,0,0,23,fails,0,G2 trend;G4 basis,F:0/2,,,,,
2026-07-09,AVGO,1,388.69,ACCUMULATE,383.25,402.81,379.737,66.52,RED,3,1,1,INSIDE,0,0,0,1,55,fails,0,G1 size,F:3/3,,,,,
2026-07-09,AXON,0,599.8,CAUTION,589.34,619.41,393.819,85.11,WHITE,1,35,1,,0,0,0,1,37,fails,0,G2 trend;G3 leader,F:3/3,,,,,
2026-07-09,CAVA,0,67.59,CAUTION,66.52,69.92,79.8304,24.04,AMBER,2,2,0,,0,0,0,1,25,fails,0,G2 trend;G3 leader;G4 basis,F:3/3,,,,,
2026-07-09,COST,0,953.13,CAUTION,936.12,983.88,955.223,33.15,WHITE,1,1,0,BREAKDOWN,1,1,0,1,13,fails,0,G2 trend;G3 leader;G4 basis,F:2/3,,,,,
2026-07-09,CRDO,0,258.69,ACCUMULATE,247.1,259.71,111.455,89.74,RED,4,12,1,,0,0,0,1,83,CONVICTION,1,,F:3/3,,,,,
2026-07-09,CRM,0,166.58,CAUTION,162.46,170.75,183.972,22.37,WHITE,0,69,0,,1,1,0,1,13,fails,0,G2 trend;G3 leader;G4 basis,F:2/3,,,,,
2026-07-09,CRWD,0,191.12,ACCUMULATE,184.76,194.18,104.629,95.2,RED,4,9,1,BREAKOUT,0,0,0,1,68,STARTER,1,,F:2/2,,,,,
2026-07-09,CSPX,1,805.96,ACCUMULATE,781.79,821.67,797.742,88.14,RED,4,14,1,BREAKOUT,0,1,0,1,60,fails,0,G3 leader,F:—,,,,,
2026-07-09,DDOG,0,261.09,HOLD,227.86,239.49,127.455,95.34,RED,4,10,1,BREAKOUT,1,1,1,0,82,CONVICTION,1,,F:2/2,,,,,
2026-07-09,DRAM,1,62.04,CAUTION,59.2,62.22,60.41,48.88,RED,3,14,0,,0,0,0,0,59,fails,0,G2 trend;G5 data,F:—,,,,,
2026-07-09,DUOL,0,127.57,CAUTION,96.87,101.82,98.8507,70.14,WHITE,0,48,0,,0,0,0,0,30,fails,0,G2 trend;G3 leader,F:2/2,,,,,
2026-07-09,GOOG,1,358.71,ACCUMULATE,353.12,371.14,360.33,72.72,RED,3,15,1,,1,1,0,1,55,fails,0,G1 size;G4 basis,F:2/2,,,,,
